day,bm_unit,lead_party,mwh,cost_gbp
2026-09-03,E_CLDRW-1,Vattenfall Energy Trading,97.5,8972.0
2026-09-03,E_CLFLW-1,SP Renewables (UK) Limited,39.5,3536.0
2026-09-03,E_CMSTW-2,Edgware Energy Limited,464.4,11662.0
2026-09-03,E_GRGRW-1,Evolve Energy Supply Limited,10.3,720.0
2026-09-03,E_HRHLW-1,SP Renewables (UK) Limited,145.9,11777.0
2026-09-03,E_MOYEW-1,Eneco Energy Trade,4.3,396.0
2026-09-03,E_TULWW-1,Eneco Energy Trade,0.9,79.0
2026-09-03,T_AFTOW-1,Afton Wind Farm Limited,76.4,6498.0
2026-09-03,T_AKGLW-2,Aikengall 2 CWCL,7.4,644.0
2026-09-03,T_AKGLW-3,AIK2A Sustainable Energy Ltd,34.5,1721.0
2026-09-03,T_BDCHW-1,RWE Generation UK plc,148.6,9564.0
2026-09-03,T_BEATO-1,Beatrice Offshore Windfarm Ltd,309.8,27126.0
2026-09-03,T_BEATO-2,Beatrice Offshore Windfarm Ltd,311.9,26084.0
2026-09-03,T_BEATO-3,Beatrice Offshore Windfarm Ltd,469.3,40094.0
2026-09-03,T_BEATO-4,Beatrice Offshore Windfarm Ltd,187.1,16299.0
2026-09-03,T_BHLAW-1,SSE Generation Ltd,685.5,58203.0
2026-09-03,T_BLLA-1,SP Renewables (UK) Limited,302.9,27098.0
2026-09-03,T_BLLA-2,SP Renewables (UK) Limited,270.2,21815.0
2026-09-03,T_BOWLW-1,Barrow Offshore Wind Limited,5.5,502.0
2026-09-03,T_BROCW-1,Smartestenergy Limited,23.7,926.0
2026-09-03,T_CGTHW-1,Corriegarth Wind Energy LTD,24.8,2004.0
2026-09-03,T_CLDCW-1,Clyde Windfarm (Scotland) Ltd,559.5,55175.0
2026-09-03,T_CLDNW-1,Clyde Windfarm (Scotland) Ltd,749.3,69036.0
2026-09-03,T_CLDSW-1,Clyde Windfarm (Scotland) Ltd,219.0,20945.0
2026-09-03,T_CRDEW-1,EDF Energy Customers Limited,139.5,7535.0
2026-09-03,T_CRDEW-2,EDF Energy Customers Limited,139.5,7535.0
2026-09-03,T_CREAW-1,Creag Riabhach Wind Farm Ltd,91.5,5310.0
2026-09-03,T_CUMHW-1,Uniper UK Limited,353.7,5362.0
2026-09-03,T_DALQW-1,Statkraft Markets Gmbh,15.7,1117.0
2026-09-03,T_DNLWW-1,SP Renewables (UK) Limited,115.6,10339.0
2026-09-03,T_DRSLW-1,SP Renewables (UK) Limited,291.9,23567.0
2026-09-03,T_DUNGW-1,Dunmaglass Wind Farm Limited,405.5,36942.0
2026-09-03,T_EDINW-1,Vattenfall Wind Power Ltd,33.0,3634.0
2026-09-03,T_EWHLW-1,SP Renewables (UK) Limited,159.8,12898.0
2026-09-03,T_FARR-1,Smartestenergy Limited,23.1,2129.0
2026-09-03,T_FARR-2,Smartestenergy Limited,21.9,2016.0
2026-09-03,T_GLNKW-1,EDF Energy Customers Limited,105.0,4241.0
2026-09-03,T_GLWSW-1,GALAWHISTLE WIND FARM,9.7,867.0
2026-09-03,T_GORDW-1,SSE Generation Ltd,347.2,28672.0
2026-09-03,T_GORDW-2,SSE Generation Ltd,322.1,5041.0
2026-09-03,T_GRGBW-3,Greater Gabbard Offshore Winds,25.4,4164.0
2026-09-03,T_GRIFW-1,Griffin Wind Farm Ltd,137.8,12296.0
2026-09-03,T_GRIFW-2,Griffin Wind Farm Ltd,102.8,9173.0
2026-09-03,T_HAHAW-1,HAGSHAW HILL REPOWERING LTD,221.0,2643.0
2026-09-03,T_HALSW-1,SP Renewables (UK) Limited,335.3,3853.0
2026-09-03,T_HRSTW-1,SP Renewables (UK) Limited,345.0,30898.0
2026-09-03,T_KENNW-1,Kennoxhead Wind Farm Limited,56.2,1766.0
2026-09-03,T_KLGLW-1,SP Renewables (UK) Limited,912.8,73406.0
2026-09-03,T_KPMRW-1,OnPath Energy Limited,746.0,14534.0
2026-09-03,T_KYPEW-1,Kype Extension Wind Farm Ltd,63.8,2234.0
2026-09-03,T_LCLTW-1,Eneco Energy Trade,1.6,141.0
2026-09-03,T_LIMKW-1,Limekiln Extension Ltd,965.6,28969.0
2026-09-03,T_MIDMW-1,OnPath Energy Limited,288.7,6332.0
2026-09-03,T_MKHLW-1,SP Renewables (UK) Limited,135.2,12094.0
2026-09-03,T_MOWEO-1,Moray Offshore Wind East Ltd,3799.2,48923.0
2026-09-03,T_MOWEO-2,Moray Offshore Wind East Ltd,3373.8,41254.0
2026-09-03,T_MOWEO-3,Moray Offshore Wind East Ltd,3481.6,51374.0
2026-09-03,T_MOWWO-1,Moray Offshore Wind West Ltd,918.7,16038.0
2026-09-03,T_MOWWO-2,Moray Offshore Wind West Ltd,918.7,16038.0
2026-09-03,T_MOWWO-3,Moray Offshore Wind West Ltd,2391.2,42030.0
2026-09-03,T_MOWWO-4,Moray Offshore Wind West Ltd,3755.9,124058.0
2026-09-03,T_MYGPW-1,Minnygap Energy Limited,55.7,4233.0
2026-09-03,T_NNGAO-1,Neart Na Gaoithe Offshore Wind,1160.6,47594.0
2026-09-03,T_SAKNW-1,Sandy Knowe Wind Farm Ltd,89.4,3574.0
2026-09-03,T_SGRWO-1,Seagreen Wind Energy Limited,4074.7,56638.0
2026-09-03,T_SGRWO-2,Seagreen Wind Energy Limited,1259.3,17504.0
2026-09-03,T_SGRWO-3,Seagreen Wind Energy Limited,2436.9,33873.0
2026-09-03,T_SGRWO-4,Seagreen Wind Energy Limited,1515.2,21061.0
2026-09-03,T_SGRWO-5,Seagreen Wind Energy Limited,1097.0,15248.0
2026-09-03,T_SGRWO-6,Seagreen Wind Energy Limited,4279.3,59483.0
2026-09-03,T_STLGW-1,Stronelairg Windfarm Limited,526.3,44686.0
2026-09-03,T_STLGW-2,Stronelairg Windfarm Limited,489.9,41593.0
2026-09-03,T_STLGW-3,Stronelairg Windfarm Limited,274.6,23312.0
2026-09-03,T_STRNW-1,Strathy Wind Farm Limited,431.0,35645.0
2026-09-03,T_TDBNW-1,SSE Generation Ltd,93.5,8664.0
2026-09-03,T_TWSHW-1,Twentyshilling Limited,58.3,1642.0
2026-09-03,T_VKNGW-1,Viking Energy Wind Farm LLP,1055.7,15223.0
2026-09-03,T_VKNGW-2,Viking Energy Wind Farm LLP,1070.8,15441.0
2026-09-03,T_VKNGW-3,Viking Energy Wind Farm LLP,938.6,13534.0
2026-09-03,T_VKNGW-4,Viking Energy Wind Farm LLP,871.1,12561.0
